"Country","AIPMean","HDI","Category"
"Macao",4.6,NA,NA
"Taiwan",4.6,NA,NA
"Dominican Republic",4.5,"0.722","High human development"
"Cyprus",4.4,"0.856","Very high human development"
"Qatar",4.1,"0.856","Very high human development"
"Panama",4,"0.788","High human development"
"Puerto Rico",4,NA,NA
"Iceland",3.9,"0.921","Very high human development"
"Ecuador",3.733,"0.739","High human development"
"Columbia",3.7,NA,NA
"Kenya",3.7,"0.555","Medium human development"
"Sri Lanka",3.7,"0.766","High human development"
"Turkey",3.678,"0.767","High human development"
"Uruguay",3.6,"0.795","High human development"
"France",3.562,"0.897","Very high human development"
